uuid,lat,lon,alt
HNDLT5S63XO_68,22.59522382933913,113.96570228472375,17.585541033186
HNDLT5S63XO_69,22.595295176960907,113.96555870870749,17.585541033186
HNDLT5S63XO_70,22.595362998577798,113.96544526687383,17.585541033186
HNDLT5S63XO_71,22.595398631012486,113.96536856749678,17.585541033186
HNDLT5S63XO_72,22.595470020010463,113.96523960393162,17.585541033186
HNDLT5S63XO_73,22.595537800251154,113.96512319094546,17.585541033186
HNDLT5S63XO_74,22.595594878348574,113.96500289752645,17.585541033186
HNDLT5S63XO_75,22.595684062875797,113.96487872367454,17.585541033186
HNDLT5S63XO_76,22.595734006211043,113.96475843025551,17.585541033186
HNDLT5S63XO_77,22.59580535383282,113.96461485423926,17.585541033186
HNDLT5S63XO_78,22.59586405920196,113.96445973999147,17.585541033186
HNDLT5S63XO_79,22.595898244522775,113.96430098771565,17.585541033186
HNDLT5S63XO_80,22.59591665200322,113.96418943206235,17.585541033186
HNDLT5S63XO_81,22.595929800203532,113.96401923818107,17.585541033186
HNDLT5S63XO_82,22.595927170563467,113.9638719275107,17.585541033186
HNDLT5S63XO_83,22.59593768912372,113.96363594439798,17.585541033186
HNDLT5S63XO_84,22.595932429843593,113.96351008673786,17.585541033186
HNDLT5S63XO_85,22.595935059483658,113.96337278747227,17.585541033186
HNDLT5S63XO_86,22.595935059483658,113.96321117479508,17.585541033186
HNDLT5S63XO_87,22.595924540923406,113.96306815472676,17.585541033186
HNDLT5S63XO_88,22.59592191128334,113.96298234268578,17.585541033186
HNDLT5S63XO_89,22.595927677099233,113.96287540178277,17.585541033186
HNDLT5S63XO_90,22.595926939496852,113.96276227152163,17.585541033186
HNDLT5S63XO_91,22.5939162696954,113.967004229159,17.433075687848
HNDLT5S63XO_93,22.5936994654338,113.966778072796,17.3433716399595
HNDLT5S63XO_94,22.593446285908,113.966503582141,17.1917881416157
